Produto Interno Bruto a preços correntes e Produto Interno Bruto per capita;;;;;;;;
segundo as Grandes Regiões, as Unidades da Federação e os Municípios - 2010-2013;;;;;;;;
;;;;;;;;
"Grandes Regiões,
Unidades da Federação
e
Municípios";Produto Interno Bruto;;;;;;;
;2010;;2011;;2012;;2013 (1);
;"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)";"A preços correntes
(1 000 R$)";"Per capita
(R$)"
           Brasil; 3 885 847 000;   19 877.68; 4 373 658 000;   22 157.00; 4 805 913 000;   24 120.62; 5 316 453 957;   26 444.63
       Norte;  207 111 154;   13 041.58;  241 090 374;   14 979.04;  258 770 937;   15 857.85;  292 341 723;   17 213.30
   Rondônia;  23 909 993;   15 322.00;  27 581 301;   17 495.77;  30 088 975;   18 923.75;  31 091 764;   17 990.69
Alta Floresta D'Oeste;   261 950;   10 725.97;   279 753;   11 546.70;   327 279;   13 597.55;   340 407;   13 231.01
Alto Alegre dos Parecis;   119 903;   9 348.46;   135 583;   10 571.80;   170 417;   13 279.60;   182 830;   13 222.71
Alto Paraíso;   152 091;   8 871.40;   176 397;   10 112.17;   206 316;   11 628.70;   213 812;   10 987.82
Alvorada D'Oeste;   160 503;   9 517.48;   174 643;   10 504.81;   185 311;   11 296.69;   191 275;   10 993.43
Ariquemes;  1 361 647;   15 070.14;  1 645 742;   17 972.51;  1 701 129;   18 341.60;  1 778 919;   17 566.27
Buritis;   335 693;   10 365.69;   462 805;   14 067.44;   404 232;   12 103.85;   426 171;   11 658.34
Cabixi;   69 197;   10 968.00;   80 190;   12 890.23;   99 926;   16 295.81;   96 308;   14 828.03
Cacaulândia;   76 800;   13 410.23;   84 287;   14 623.08;   91 169;   15 743.26;   98 910;   15 780.23
Cacoal;  1 184 417;   15 068.72;  1 253 053;   15 869.67;  1 377 607;   17 365.53;  1 415 053;   16 480.36
Campo Novo de Rondônia;   117 849;   9 302.16;   150 963;   11 832.81;   153 432;   11 943.05;   179 620;   12 886.18
Candeias do Jamari;   280 776;   14 193.49;   285 928;   14 090.66;   277 025;   13 326.82;   327 835;   14 270.46
Castanheiras;   39 920;   11 147.66;   44 588;   12 641.77;   46 913;   13 484.69;   53 276;   14 441.80
